"Directory.Name"	"Species"	"Common.name"	"Other.species.names"	"Species.Taxonomy.ID"	"Taxonomic.Lineage"	"Assembly.name"	"NCBI.accession"	"Source.of.assembly"	"NCBI.assembly.name"	"NCBI.assembly.status"	"Assembly.submission.date"	"Assembly.submitter.organization"	"contig.N50..bp."	"scaffold.N50..bp."	"Zoonomia_name"
"54"	"Rattus_norvegicus__Norway_rat__HLratNor8__GCF_036323735.1"	"Rattus_norvegicus"	"Norway rat"	"rat,rats,Rattus_sp._strain_Wistar,brown_rat,laboratory_rat,Rattus_PC12_clone_IS,Mus_norvegicus,Buffalo_rat,Sprague-Dawley_rat,zitter_rats,Wistar_rats"	10116	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus"	"HLratNor8"	"GCF_036323735.1"	"NCBI"	"GRCr8"	"Chromosome"	"2024-01-31"	"Genome Reference Consortium"	64250101	137014596	"rattus_norvegicus"
"55"	"Rattus_norvegicus__Norway_rat__rn7__GCF_015227675.2"	"Rattus_norvegicus"	"Norway rat"	"Rattus_PC12_clone_IS,Rattus_sp._strain_Wistar,laboratory_rat,Buffalo_rat,Wistar_rats,zitter_rats,rat,Sprague-Dawley_rat,brown_rat,rats"	10116	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Rattus"	"rn7"	"GCF_015227675.2"	"NCBI"	"mRatBN7.2"	"Chromosome"	"2020-11-10"	"Wellcome Sanger Institute"	29198295	135012528	"rattus_norvegicus"
"56"	"Cricetomys_gambianus__Gambian_giant_pouched_rat__HLcriGam1__GCA_004027575.1"	"Cricetomys_gambianus"	"Gambian giant pouched rat"	"Gambian_pouched_rats,Gambian_pouched_rat,Gambian_rat,Gambia_rat"	10085	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Nesomyidae; Cricetomyinae; Cricetomys"	"HLcriGam1"	"GCA_004027575.1"	"NCBI"	"CriGam_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	80761	110049	"cricetomys_gambianus"
"57"	"Nannospalax_galili__Upper_Galilee_mountains_blind_mole_rat__nanGal1__GCF_000622305.1"	"Nannospalax_galili"	"Upper Galilee mountains blind mole rat"	"Spalax_galili,Nannospalax_ehrenbergi_galili"	1026970	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Spalacidae; Spalacinae; Nannospalax"	"nanGal1"	"GCF_000622305.1"	"NCBI"	"S.galili_v1.0"	"Scaffold"	"2014-06-05"	"BGI"	30353	3618479	"nannospalax_galili"
"58"	"Aplodontia_rufa__mountain_beaver__HLaplRuf1__GCA_004027875.1"	"Aplodontia_rufa"	"mountain beaver"	"sewellel"	51342	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Aplodontiidae; Aplodontia"	"HLaplRuf1"	"GCA_004027875.1"	"NCBI"	"AplRuf_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	33245	37811	"aplodontia_rufa"
"59"	"Glis_glis__Fat_dormouse__HLgliGli1__GCA_004027185.1"	"Glis_glis"	"Fat dormouse"	"Myoxus_glis"	41261	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Glirinae; Glis"	"HLgliGli1"	"GCA_004027185.1"	"NCBI"	"GliGli_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	26062	30338	"glis_glis"
"60"	"Graphiurus_murinus__woodland_dormouse__HLgraMur1__GCA_004027655.1"	"Graphiurus_murinus"	"woodland dormouse"	"Graphiurus_raptor"	51346	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Graphiurinae; Graphiurus"	"HLgraMur1"	"GCA_004027655.1"	"NCBI"	"GraMur_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	22138	28463	"graphiurus_murinus"
"61"	"Muscardinus_avellanarius__hazel_dormouse__HLmusAve1__GCA_004027005.1"	"Muscardinus_avellanarius"	"hazel dormouse"	"hazel_mouse"	39082	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Muscardinus"	"HLmusAve1"	"GCA_004027005.1"	"NCBI"	"MusAve_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	44294	59013	"muscardinus_avellanarius"
"62"	"Muscardinus_avellanarius__Hazel_dormouse__HLmusAvel2__GCA_963383645.1"	"Muscardinus_avellanarius"	"Hazel dormouse"	"Mus_avellanarius,hazel_mouse"	39082	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Gliridae; Muscardinus"	"HLmusAvel2"	"GCA_963383645.1"	"NCBI"	"mMusAve1.1"	"Chromosome"	"2023-08-26"	"WELLCOME SANGER INSTITUTE"	2432660	119481734	"muscardinus_avellanarius"
"63"	"Ictidomys_tridecemlineatus__thirteen-lined_ground_squirrel__HLictTri2__GCF_016881025.1"	"Ictidomys_tridecemlineatus"	"thirteen-lined ground squirrel"	"Spermophilus_tridecemlineatus,Citellus_tridecemlineatus"	43179	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Ictidomys"	"HLictTri2"	"GCF_016881025.1"	"NCBI"	"HiC_Itri_2"	"Chromosome"	"2021-02-17"	"Stanford University School of Medicine"	44127	193221680	"ictidomys_tridecemlineatus"
"64"	"Ictidomys_tridecemlineatus__Thirteen-lined_ground_squirrel__HLictTrid4A__GCA_052094955.1"	"Ictidomys_tridecemlineatus"	"Thirteen-lined ground squirrel"	"Spermophilus_tridecemlineatus,Citellus_tridecemlineatus,Sciurus_tridecemlineatus"	43179	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Ictidomys"	"HLictTrid4A"	"GCA_052094955.1"	"NCBI"	"mIctTri1.hap1"	"Chromosome"	"2025-08-18"	"Vertebrate Genomes Project"	10558370	157082519	"ictidomys_tridecemlineatus"
"65"	"Ictidomys_tridecemlineatus__Thirteen-lined_ground_squirrel__HLictTrid4B__GCA_052094965.1"	"Ictidomys_tridecemlineatus"	"Thirteen-lined ground squirrel"	"Sciurus_tridecemlineatus,Citellus_tridecemlineatus,Spermophilus_tridecemlineatus"	43179	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Ictidomys"	"HLictTrid4B"	"GCA_052094965.1"	"NCBI"	"mIctTri1.hap2"	"Chromosome"	"2025-08-18"	"Vertebrate Genomes Project"	13926175	185360950	"ictidomys_tridecemlineatus"
"66"	"Marmota_marmota_marmota__Alpine_marmot__HLmarMar1__GCA_001458135.1"	"Marmota_marmota_marmota"	"Alpine marmot"	"European_marmot"	9994	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Marmota; Marmota marmota"	"HLmarMar1"	"GCA_001458135.1"	"NCBI"	"marMar2.1"	"Scaffold"	"2015-11-20"	"MRC NATIONAL INSTITUTE FOR MEDICAL RESEARCH"	66492	31340621	"marmota_marmota_marmota"
"67"	"Spermophilus_dauricus__Daurian_ground_squirrel__HLspeDau1__GCA_002406435.1"	"Spermophilus_dauricus"	"Daurian ground squirrel"	"Citellus_dauricus"	99837	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Spermophilus"	"HLspeDau1"	"GCA_002406435.1"	"NCBI"	"ASM240643v1"	"Scaffold"	"2017-09-28"	"BGI-shenzhen"	34849	1761345	"spermophilus_dauricus"
"68"	"Xerus_inauris__South_African_ground_squirrel__HLxerIna1__GCA_004024805.1"	"Xerus_inauris"	"South African ground squirrel"	""	234690	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Xerini; Xerus"	"HLxerIna1"	"GCA_004024805.1"	"NCBI"	"XerIna_v1_BIUU"	"Scaffold"	"2019-01-15"	"Broad Institute"	64054	83865	"xerus_inauris"
"69"	"Cercocebus_atys__sooty_mangabey__cerAty1__GCF_000955945.1"	"Cercocebus_atys"	"sooty mangabey"	"Cercocebus_torquatus_atys"	9531	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercocebus"	"cerAty1"	"GCF_000955945.1"	"NCBI"	"Caty_1.0"	"Scaffold"	"2015-03-19"	"Human Genome Sequencing Center - BCM"	112942	12849131	"cercocebus_atys"
"70"	"Cercopithecus_neglectus__De_Brazzas_monkey__HLcerNeg1__GCA_004027615.1"	"Cercopithecus_neglectus"	"De Brazzas monkey"	""	36227	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Cercopithecus"	"HLcerNeg1"	"GCA_004027615.1"	"NCBI"	"CertNeg_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	9789	10270	"cercopithecus_neglectus"
"71"	"Chlorocebus_sabaeus__green_monkey__HLchlSab3__GCF_015252025.1"	"Chlorocebus_sabaeus"	"green monkey"	"Cercopithecus_sabeus,Cercopithecus_sabaeus,Cercopithecus_aethiops_sabaeus,Chlorocebus_sabeus,Simia_sabaea,Chlorocebus_aethiops_sabeus,Chlorocebus_aethiops_sabaeus"	60711	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Chlorocebus"	"HLchlSab3"	"GCF_015252025.1"	"NCBI"	"Vero_WHO_p1.0"	"Scaffold"	"2020-11-06"	"Viral Vectors and Vaccines Bioprocessing Group, McGill University"	839654	81790585	"chlorocebus_sabaeus"
"72"	"Erythrocebus_patas__red_guenon__HLeryPat3__GCA_023783455.1"	"Erythrocebus_patas"	"red guenon"	"patas_monkey,hussar,Cercopithecus_patas"	9538	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Erythrocebus"	"HLeryPat3"	"GCA_023783455.1"	"NCBI"	"ASM2378345v1"	"Contig"	"2022-06-17"	"BGI-Shenzhen"	18747272	18747272	"erythrocebus_patas"
"73"	"Macaca_fascicularis__crab-eating_macaque__HLmacFas7__GCF_012559485.2"	"Macaca_fascicularis"	"crab-eating macaque"	"cynomolgus_macaque,crab_eating_macaque,cynomolgus_monkeys,long-tailed_macaque,Macaca_cynomolgus,cynomolgus_monkey,Simia_fascicularis,Macaca_irus"	9541	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca"	"HLmacFas7"	"GCF_012559485.2"	"NCBI"	"MFA1912RKSv2"	"Chromosome"	"2021-10-26"	"Keio University / RIKEN"	26251577	149803873	"macaca_fascicularis"
"74"	"Macaca_fascicularis__Crab-eating_macaque__HLmacFas8__GCF_037993035.1"	"Macaca_fascicularis"	"Crab-eating macaque"	"long-tailed_macaque,Macaca_cynomolgus,Cynomolgus,Simia_fascicularis,cynomolgus_monkeys,CYNOMOLGUS,cynomolgus_macaque,Macaca_irus,crab_eating_macaque,cynomolgus_monkey"	9541	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca"	"HLmacFas8"	"GCF_037993035.1"	"NCBI"	"T2T-MFA8v1.0"	"Complete Genome"	"2024-04-05"	"Shanghai Jiao Tong University"	162126771	162126771	"macaca_fascicularis"
"75"	"Macaca_nemestrina__Pig-tailed_macaque__HLmacNeme2A__GCF_043159975.1"	"Macaca_nemestrina"	"Pig-tailed macaque"	"Simia_nemestrina,pigtail_macaque,pigtail_monkey"	9545	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca"	"HLmacNeme2A"	"GCF_043159975.1"	"NCBI"	"mMacNem.hap1"	"Chromosome"	"2024-10-15"	"Vertebrate Genomes Project"	40835442	154799650	"macaca_nemestrina"
"76"	"Macaca_nemestrina__pig-tailed_macaque__macNem1__GCF_000956065.1"	"Macaca_nemestrina"	"pig-tailed macaque"	"pigtail_macaque,pigtail_monkey"	9545	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca"	"macNem1"	"GCF_000956065.1"	"NCBI"	"Mnem_1.0"	"Scaffold"	"2015-03-19"	"Baylor College of Medicine"	106897	15219753	"macaca_nemestrina"
"77"	"Macaca_mulatta__Rhesus_monkey__rheMac10__GCF_003339765.1"	"Macaca_mulatta"	"Rhesus monkey"	"rhesus_monkeys,rhesus_macaques,rhesus_macaque"	9544	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Macaca"	"rheMac10"	"GCF_003339765.1"	"NCBI"	"Mmul_10"	"Chromosome"	"2019-02-13"	"The Genome Institute at Washington University School of Medicine"	46608966	82346004	"macaca_mulatta"
"78"	"Mandrillus_leucophaeus__drill__HLmanLeu2__GCA_023783495.1"	"Mandrillus_leucophaeus"	"drill"	"Papio_leucophaeus"	9568	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Mandrillus"	"HLmanLeu2"	"GCA_023783495.1"	"NCBI"	"ASM2378349v1"	"Scaffold"	"2022-06-17"	"BGI-Shenzhen"	149093	27319382	"mandrillus_leucophaeus"
"79"	"Papio_anubis__olive_baboon__HLpapAnu5__GCA_008728515.1"	"Papio_anubis"	"olive baboon"	"Papio_hamadryas_anubis,baboon,Anubis_baboon,Doguera_baboon,Papio_cynocephalus_anubis,Papio_doguera,Papio_hamadryas_doguera,Kenya_baboon"	9555	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Papio"	"HLpapAnu5"	"GCA_008728515.1"	"NCBI"	"Panubis1.0"	"Chromosome"	"2019-10-02"	"University of California, San Francisco"	1464978	140274886	"papio_anubis"
"80"	"Papio_anubis__olive_baboon__HLpapAnu6__GCA_008728515.2"	"Papio_anubis"	"olive baboon"	"Papio_hamadryas_doguera,Doguera_baboon,baboon,Kenya_baboon,Anubis_baboon,Papio_doguera,Papio_cynocephalus_anubis,Papio_hamadryas_anubis"	9555	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Papio"	"HLpapAnu6"	"GCA_008728515.2"	"NCBI"	"Panubis1.1"	"Chromosome"	"2022-04-27"	"University of California, San Francisco"	1465768	140185856	"papio_anubis"
"81"	"Colobus_angolensis_palliatus__Angolan_colobus__colAng1__GCF_000951035.1"	"Colobus_angolensis_palliatus"	"Angolan colobus"	"Angola_colobus"	336983	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Colobus; Colobus angolensis"	"colAng1"	"GCF_000951035.1"	"NCBI"	"Cang.pa_1.0"	"Scaffold"	"2015-03-12"	"Baylor College of Medicine"	38363	7840981	"colobus_angolensis_palliatus"
"82"	"Nasalis_larvatus__proboscis_monkey__nasLar1__GCA_000772465.1"	"Nasalis_larvatus"	"proboscis monkey"	""	43780	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Nasalis"	"nasLar1"	"GCA_000772465.1"	"NCBI"	"Charlie1.0"	"Chromosome"	"2014-11-10"	"Proboscis Monkey Functional Genome Consortium"	13295	137426304	"nasalis_larvatus"
"83"	"Piliocolobus_tephrosceles__Ugandan_red_Colobus__HLpilTep2__GCA_002776525.3"	"Piliocolobus_tephrosceles"	"Ugandan red Colobus"	"Procolobus_badius_tephrosceles,Procolobus_rufomitratus_tephrosceles"	591936	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Piliocolobus"	"HLpilTep2"	"GCA_002776525.3"	"NCBI"	"ASM277652v3"	"Chromosome"	"2019-12-12"	"University of Oregon"	98446	131283114	"piliocolobus_tephrosceles"
"84"	"Pygathrix_nemaeus__Red_shanked_douc_langur__HLpygNem1__GCA_004024825.1"	"Pygathrix_nemaeus"	"Red shanked douc langur"	"dove_langur"	54133	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Pygathrix"	"HLpygNem1"	"GCA_004024825.1"	"NCBI"	"PygNem_v1_BIUU"	"Scaffold"	"2019-01-15"	"Broad Institute"	51434	68569	"pygathrix_nemaeus"
"85"	"Rhinopithecus_bieti__Black-and-white_snub-nosed_monkey__HLrhiBiet3"	"Rhinopithecus_bieti"	"Black-and-white snub-nosed monkey"	"Pygathrix_bieti,Yunnan_snub-nosed_monkey"	61621	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Rhinopithecus"	"HLrhiBiet3"	"https://ngdc.cncb.ac.cn/gwh/Assembly/24510/show"	"https://ngdc.cncb.ac.cn/gwh/Assembly/24510/show"	""	""	"2025-04-09"	""	5779005	145697888	"rhinopithecus_bieti"
"86"	"Rhinopithecus_roxellana__golden_snub-nosed_monkey__HLrhiRox2__GCA_007565055.1"	"Rhinopithecus_roxellana"	"golden snub-nosed monkey"	"Pygathrix_roxellana"	61622	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Rhinopithecus"	"HLrhiRox2"	"GCA_007565055.1"	"NCBI"	"ASM756505v1"	"Chromosome"	"2019-07-29"	"Northwest University"	5723610	144559847	"rhinopithecus_roxellana"
"87"	"Rhinopithecus_bieti__black_snub-nosed_monkey__rhiBie1__GCF_001698545.1"	"Rhinopithecus_bieti"	"black snub-nosed monkey"	"Pygathrix_bieti"	61621	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Rhinopithecus"	"rhiBie1"	"GCF_001698545.1"	"NCBI"	"ASM169854v1"	"Scaffold"	"2016-08-03"	"Laboratory for conservation and utilization of Bio-resource"	36417	2225337	"rhinopithecus_bieti"
"88"	"Semnopithecus_entellus__Hanuman_langur__HLsemEnt1__GCA_004025065.1"	"Semnopithecus_entellus"	"Hanuman langur"	"Presbytis_entellus"	88029	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Semnopithecus"	"HLsemEnt1"	"GCA_004025065.1"	"NCBI"	"SemEnt_v1_BIUU"	"Scaffold"	"2019-01-15"	"Broad Institute"	25064	29955	"semnopithecus_entellus"
"89"	"Gorilla_gorilla__western_gorilla__HLgorGor7__GCA_029281585.3"	"Gorilla_gorilla"	"western gorilla"	"Troglodytes_gorilla,gorilla"	9593	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Gorilla"	"HLgorGor7"	"GCA_029281585.3"	"T2T primates"	""	""	"2023-12-09"	""	150804130	150804130	"gorilla_gorilla"
"90"	"Gorilla_gorilla_gorilla__western_lowland_gorilla__gorGor6__GCF_008122165.1"	"Gorilla_gorilla_gorilla"	"western lowland gorilla"	"lowland_gorilla,western_gorilla,gorilla,Troglodytes_gorilla"	9595	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Gorilla; Gorilla gorilla"	"gorGor6"	"GCF_008122165.1"	"NCBI"	"Kamilah_GGO_v0"	"Chromosome"	"2019-08-28"	"University of Washington"	9522971	26116462	"gorilla_gorilla_gorilla"
"91"	"Homo_sapiens__human__hg38__GCF_000001405.38"	"Homo_sapiens"	"human"	"man"	9606	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Homo"	"hg38"	"GCF_000001405.38"	"NCBI"	"GRCh38.p12"	"Chromosome"	"2017-12-21"	"Genome Reference Consortium"	56413054	59364414	"homo_sapiens"
"92"	"Pan_paniscus__pygmy_chimpanzee__HLpanPan4__GCA_029289425.3"	"Pan_paniscus"	"pygmy chimpanzee"	"bonobo"	9597	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan"	"HLpanPan4"	"GCA_029289425.3"	"T2T primates"	""	""	"2023-12-09"	""	147028407	147028407	"pan_paniscus"
"93"	"Pan_troglodytes__chimpanzee__HLpanTro7__GCA_028858775.2"	"Pan_troglodytes"	"chimpanzee"	"Simia_troglodytes"	9598	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan"	"HLpanTro7"	"GCA_028858775.2"	"T2T primates"	""	""	"2023-12-09"	""	146288486	146288486	"pan_troglodytes"
"94"	"Pan_troglodytes__chimpanzee__panTro6__GCF_002880755.1"	"Pan_troglodytes"	"chimpanzee"	""	9598	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Homininae; Pan"	"panTro6"	"GCF_002880755.1"	"NCBI"	"Clint_PTRv2"	"Chromosome"	"2018-01-19"	"University of Washington"	12268567	53103722	"pan_troglodytes"
"95"	"Pongo_abelii__Sumatran_orangutan__HLponAbe4__GCA_028885655.2"	"Pongo_abelii"	"Sumatran orangutan"	"Orangutan,Pongo_pygmaeus_abelii,orang_utan,Pongo_pygmaeus_abeli,Orang-utan"	9601	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo"	"HLponAbe4"	"GCA_028885655.2"	"T2T primates"	""	""	"2023-12-09"	""	146197178	146197178	"pongo_abelii"
"96"	"Pongo_abelii__Sumatran_orangutan__ponAbe3__GCF_002880775.1"	"Pongo_abelii"	"Sumatran orangutan"	"orang_utan,Pongo_pygmaeus_abelii,Pongo_pygmaeus_abeli,Orang-utan,Orangutan"	9601	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hominidae; Ponginae; Pongo"	"ponAbe3"	"GCF_002880775.1"	"NCBI"	"Susie_PABv2"	"Chromosome"	"2018-01-19"	"University of Washington"	11074009	98475126	"pongo_abelii"
"97"	"Nomascus_leucogenys__northern_white-cheeked_gibbon__HLnomLeu4__GCA_006542625.1"	"Nomascus_leucogenys"	"northern white-cheeked gibbon"	"Nomascus_leucogenys_leucogenys,Hylobates_concolor_leucogyneus,White-cheeked_Gibbon,Hylobates_leucogenys_leucogenys,Hylobates_concolor_leucogenys,Nomascus_leukogenys,Hylobates_leucogenys"	61853	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Nomascus"	"HLnomLeu4"	"GCA_006542625.1"	"NCBI"	"Asia_NLE_v1"	"Chromosome"	"2019-07-02"	"University of Washington"	12782853	35886894	"nomascus_leucogenys"
"98"	"Aotus_nancymaae__Mas_night_monkey__aotNan1__GCF_000952055.2"	"Aotus_nancymaae"	"Mas night monkey"	"Aotus_nancymai"	37293	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Aotidae; Aotus"	"aotNan1"	"GCF_000952055.2"	"NCBI"	"Anan_2.0"	"Scaffold"	"2017-06-09"	"Baylor College of Medicine"	126456	8268663	"aotus_nancymaae"
"99"	"Alouatta_palliata__mantled_howler_monkey__HLaloPal1__GCA_004027835.1"	"Alouatta_palliata"	"mantled howler monkey"	""	30589	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Alouattinae; Alouatta"	"HLaloPal1"	"GCA_004027835.1"	"NCBI"	"AloPal_v1_BIUU"	"Scaffold"	"2019-01-16"	"Broad Institute"	51304	72427	"alouatta_palliata"
"100"	"Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo1__GCA_004024785.1"	"Ateles_geoffroyi"	"black-handed spider monkey"	"Central_American_spider_monkey"	9509	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles"	"HLateGeo1"	"GCA_004024785.1"	"NCBI"	"AteGeo_v1_BIUU"	"Scaffold"	"2019-01-15"	"Broad Institute"	59033	73111	"ateles_geoffroyi"
"101"	"Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo2__GCA_023783555.1"	"Ateles_geoffroyi"	"black-handed spider monkey"	"Central_American_spider_monkey"	9509	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles"	"HLateGeo2"	"GCA_023783555.1"	"NCBI"	"ASM2378355v1"	"Contig"	"2022-06-17"	"BGI-Shenzhen"	29212752	29212752	"ateles_geoffroyi"
"102"	"Callithrix_jacchus__white-tufted-ear_marmoset__HLcalJac5__GCF_011100555.1"	"Callithrix_jacchus"	"white-tufted-ear marmoset"	"Callithrix_jacchus_jacchus,common_marmoset,white_ear-tufted_marmoset,Simia_jacchus"	9483	"Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix"	"HLcalJac5"	"GCF_011100555.1"	"NCBI"	"mCalJa1.2.pat.X"	"Chromosome"	"2021-04-28"	"Vertebrate Genomes Project"	13222669	136971485	"callithrix_jacchus"
